full_path,relative_path,style,filename,caption,emotion
data\raw\wikiart\Symbolism\henri-martin_poetesses-on-a-take-shore.jpg,Symbolism\henri-martin_poetesses-on-a-take-shore.jpg,Symbolism,henri-martin_poetesses-on-a-take-shore.jpg,"There are 10 angelic beings , 9 of whom are watching the 10th play a golden harp.",awe
data\raw\wikiart\Impressionism\camille-pissarro_hampton-court-green-1890.jpg,Impressionism\camille-pissarro_hampton-court-green-1890.jpg,Impressionism,camille-pissarro_hampton-court-green-1890.jpg,People in the foreground aren't defined,something else
data\raw\wikiart\Minimalism\enrico-castellani_dittico-rosso-1966.jpg,Minimalism\enrico-castellani_dittico-rosso-1966.jpg,Minimalism,enrico-castellani_dittico-rosso-1966.jpg,"Red is my favorite color.  Also, the corners and edges of this scene fit together in a neat, satisfying way.",contentment
data\raw\wikiart\Symbolism\jozsef-rippl-ronai_a-park-at-night-1895(1).jpg,Symbolism\jozsef-rippl-ronai_a-park-at-night-1895(1).jpg,Symbolism,jozsef-rippl-ronai_a-park-at-night-1895(1).jpg,"I love the lighting, it looks very surreal and almost dreamy",contentment
data\raw\wikiart\Post_Impressionism\pyotr-konchalovsky_aragvi-1927.jpg,Post_Impressionism\pyotr-konchalovsky_aragvi-1927.jpg,Post_Impressionism,pyotr-konchalovsky_aragvi-1927.jpg,"This scene looks light and summery, since the water is so blue",contentment
data\raw\wikiart\Realism\alexey-venetsianov_haymaking-1.jpg,Realism\alexey-venetsianov_haymaking-1.jpg,Realism,alexey-venetsianov_haymaking-1.jpg,"A woman breastfeeding outside, talking to her child, with what looks like knitting next to her makes me realize how much some people are capable of.",awe
data\raw\wikiart\Romanticism\gustave-dore_the-testing-of-abraham-s-faith.jpg,Romanticism\gustave-dore_the-testing-of-abraham-s-faith.jpg,Romanticism,gustave-dore_the-testing-of-abraham-s-faith.jpg,I am greatly impressed with the detail from the logs and Abraham's robes.,awe
data\raw\wikiart\Fauvism\milton-avery_conversation-1956.jpg,Fauvism\milton-avery_conversation-1956.jpg,Fauvism,milton-avery_conversation-1956.jpg,I like that you can tell which expressions the women are making without even having to see those expressions on the ladies.,amusement
data\raw\wikiart\Romanticism\mikhail-vrubel_sitter-in-the-renaissance-setting-1883.jpg,Romanticism\mikhail-vrubel_sitter-in-the-renaissance-setting-1883.jpg,Romanticism,mikhail-vrubel_sitter-in-the-renaissance-setting-1883.jpg,I am aroused looking at this naked person sitting so calmly on her chair.  Covering one breast is a good tease.,contentment
data\raw\wikiart\Northern_Renaissance\albrecht-durer_head-of-a-suffering-man.jpg,Northern_Renaissance\albrecht-durer_head-of-a-suffering-man.jpg,Northern_Renaissance,albrecht-durer_head-of-a-suffering-man.jpg,The black lines around his eyes feels like he is under great stress in this period painting with the date of 1503 standing out!,awe
data\raw\wikiart\Expressionism\costas-niarchos_untitled(2).jpg,Expressionism\costas-niarchos_untitled(2).jpg,Expressionism,costas-niarchos_untitled(2).jpg,I like the blue of the sky against the buildings and the boats.,contentment
data\raw\wikiart\Realism\isaac-levitan_apple-trees-in-blossom-1896-1.jpg,Realism\isaac-levitan_apple-trees-in-blossom-1896-1.jpg,Realism,isaac-levitan_apple-trees-in-blossom-1896-1.jpg,I can picture the family that would live here in the house you can see behind the trees. The dappled light and the dappled trees are very peaceful.,contentment
data\raw\wikiart\Romanticism\pierre-paul-prud'hon_madame-simon.jpg,Romanticism\pierre-paul-prud'hon_madame-simon.jpg,Romanticism,pierre-paul-prud'hon_madame-simon.jpg,The lighting on the woman's face really brings out the details in contrast to the black backdrop. The fur on the coat is contrasted well too.,awe
data\raw\wikiart\Post_Impressionism\paul-cezanne_young-girl-with-a-doll.jpg,Post_Impressionism\paul-cezanne_young-girl-with-a-doll.jpg,Post_Impressionism,paul-cezanne_young-girl-with-a-doll.jpg,Because I thought about my grandmother holding a baby.,contentment
data\raw\wikiart\Impressionism\john-singer-sargent_the-sphinx.jpg,Impressionism\john-singer-sargent_the-sphinx.jpg,Impressionism,john-singer-sargent_the-sphinx.jpg,"The sphinx stands tall and mysterious, tempting one to ask a question.",something else
data\raw\wikiart\Symbolism\salvador-dali_inter-filios-die-affuit-etiam-satan-job-2-6-1967.jpg,Symbolism\salvador-dali_inter-filios-die-affuit-etiam-satan-job-2-6-1967.jpg,Symbolism,salvador-dali_inter-filios-die-affuit-etiam-satan-job-2-6-1967.jpg,The silouhette of a brown and black angelic form that appears to be looking at something in the bright background. It certainly feels mysterious.,something else
data\raw\wikiart\Realism\vincent-van-gogh_cemetery-1883(1).jpg,Realism\vincent-van-gogh_cemetery-1883(1).jpg,Realism,vincent-van-gogh_cemetery-1883(1).jpg,The picture of a burial ground with several inscriptions around the picture,something else
data\raw\wikiart\Rococo\giovanni-battista-tiepolo_the-marriage-of-the-emperor-frederick-barbarossa-to-beatrice-of-burgundy-1751.jpg,Rococo\giovanni-battista-tiepolo_the-marriage-of-the-emperor-frederick-barbarossa-to-beatrice-of-burgundy-1751.jpg,Rococo,giovanni-battista-tiepolo_the-marriage-of-the-emperor-frederick-barbarossa-to-beatrice-of-burgundy-1751.jpg,I love the detail and the bright vivid colors.  Makes me hope for the couple,something else
data\raw\wikiart\Mannerism_Late_Renaissance\el-greco_st-francis-receiving-the-stigmata.jpg,Mannerism_Late_Renaissance\el-greco_st-francis-receiving-the-stigmata.jpg,Mannerism_Late_Renaissance,el-greco_st-francis-receiving-the-stigmata.jpg,The light shining into the dark and upon the mans face is enlightening.,awe
data\raw\wikiart\Realism\vincent-van-gogh_orphan-man-holding-top-hat-in-his-hand-1882-1.jpg,Realism\vincent-van-gogh_orphan-man-holding-top-hat-in-his-hand-1882-1.jpg,Realism,vincent-van-gogh_orphan-man-holding-top-hat-in-his-hand-1882-1.jpg,the mans back is turned and he looks down and omnious,fear
data\raw\wikiart\Art_Nouveau_Modern\nicholas-roerich_study-of-scene-design-for-snow-maiden-1921-1.jpg,Art_Nouveau_Modern\nicholas-roerich_study-of-scene-design-for-snow-maiden-1921-1.jpg,Art_Nouveau_Modern,nicholas-roerich_study-of-scene-design-for-snow-maiden-1921-1.jpg,The wobbly feel to the environment makes you feel like you're high on drugs.,amusement
data\raw\wikiart\Pop_Art\roy-lichtenstein_baked-potato-1962(1).jpg,Pop_Art\roy-lichtenstein_baked-potato-1962(1).jpg,Pop_Art,roy-lichtenstein_baked-potato-1962(1).jpg,I feel confused with this painting. Is it a stick of butter melting in a potato? Seems most likely.,something else
data\raw\wikiart\Symbolism\konstantin-somov_cecile-de-volanzh.jpg,Symbolism\konstantin-somov_cecile-de-volanzh.jpg,Symbolism,konstantin-somov_cecile-de-volanzh.jpg,A lovely Victorian style portrait that is showing off a stumming diamond ring.,awe
data\raw\wikiart\Impressionism\panayiotis-tetsis_portrait-of-a-man.jpg,Impressionism\panayiotis-tetsis_portrait-of-a-man.jpg,Impressionism,panayiotis-tetsis_portrait-of-a-man.jpg,The man looks happy but has an odd shape to his face.,amusement
data\raw\wikiart\Impressionism\eliseu-visconti_esperan-a-sonho-mistico.jpg,Impressionism\eliseu-visconti_esperan-a-sonho-mistico.jpg,Impressionism,eliseu-visconti_esperan-a-sonho-mistico.jpg,the girl looks graceful. this makes me feel uplifted.,something else
data\raw\wikiart\Art_Nouveau_Modern\pablo-picasso_costume-design-for-ballet-tricorne-1917-1.jpg,Art_Nouveau_Modern\pablo-picasso_costume-design-for-ballet-tricorne-1917-1.jpg,Art_Nouveau_Modern,pablo-picasso_costume-design-for-ballet-tricorne-1917-1.jpg,That quite an amazing hat and coat. He looks pretty proud of himself and very masculine.,awe
data\raw\wikiart\Abstract_Expressionism\mark-rothko_not_detected_242115.jpg,Abstract_Expressionism\mark-rothko_not_detected_242115.jpg,Abstract_Expressionism,mark-rothko_not_detected_242115.jpg,This painting is very mysterious due t o the offsetting dark humanoid themed figure in the center.,contentment
data\raw\wikiart\Early_Renaissance\benozzo-gozzoli_disembarkation-at-ostia-1465.jpg,Early_Renaissance\benozzo-gozzoli_disembarkation-at-ostia-1465.jpg,Early_Renaissance,benozzo-gozzoli_disembarkation-at-ostia-1465.jpg,Looks like the man in the middle is very important. The characters are painted with extreme detail.,contentment
data\raw\wikiart\Romanticism\orest-kiprensky_landscape.jpg,Romanticism\orest-kiprensky_landscape.jpg,Romanticism,orest-kiprensky_landscape.jpg,An amazing piece of work with what was probably just a black pencil and chalk. i love the way the artist made the reflection off of the pond and the painstaking way he drew the leaves in the trees.,awe
data\raw\wikiart\Symbolism\gustav-klimt_goldfish-1902.jpg,Symbolism\gustav-klimt_goldfish-1902.jpg,Symbolism,gustav-klimt_goldfish-1902.jpg,The painting is creepy and unnatural.,disgust
data\raw\wikiart\Impressionism\boris-kustodiev_lilacs-1906.jpg,Impressionism\boris-kustodiev_lilacs-1906.jpg,Impressionism,boris-kustodiev_lilacs-1906.jpg,There is a lot of light in this photo.  It makes me feel very soothed and happy.,contentment
data\raw\wikiart\Post_Impressionism\paul-serusier_square-with-street-lamp-1891.jpg,Post_Impressionism\paul-serusier_square-with-street-lamp-1891.jpg,Post_Impressionism,paul-serusier_square-with-street-lamp-1891.jpg,love the good night scene and creepy people walking around in the dark,awe
data\raw\wikiart\Expressionism\konstantinos-parthenis_the-virgin-mary-1942.jpg,Expressionism\konstantinos-parthenis_the-virgin-mary-1942.jpg,Expressionism,konstantinos-parthenis_the-virgin-mary-1942.jpg,the image is boring and lacks bright colors,something else
data\raw\wikiart\Abstract_Expressionism\paul-jenkins_not_detected_235726.jpg,Abstract_Expressionism\paul-jenkins_not_detected_235726.jpg,Abstract_Expressionism,paul-jenkins_not_detected_235726.jpg,the green stalk is coming from the black root,awe
data\raw\wikiart\Impressionism\claude-monet_rio-della-salute-02.jpg,Impressionism\claude-monet_rio-della-salute-02.jpg,Impressionism,claude-monet_rio-della-salute-02.jpg,This painting has such dark undertones to it that it feels lifeless and listless,sadness
data\raw\wikiart\Impressionism\pierre-auguste-renoir_seated-bather-1912.jpg,Impressionism\pierre-auguste-renoir_seated-bather-1912.jpg,Impressionism,pierre-auguste-renoir_seated-bather-1912.jpg,The woman looks young but depressed.  Makes me wonder why she's posing with the cloth in her lap.,sadness
data\raw\wikiart\Realism\vincent-van-gogh_orphan-man-in-sunday-clothes-with-eye-bandage-1882.jpg,Realism\vincent-van-gogh_orphan-man-in-sunday-clothes-with-eye-bandage-1882.jpg,Realism,vincent-van-gogh_orphan-man-in-sunday-clothes-with-eye-bandage-1882.jpg,it is so dark and it is kinda creepy and weird and scary,fear
data\raw\wikiart\Impressionism\pierre-auguste-renoir_young-woman-seated-on-the-grass.jpg,Impressionism\pierre-auguste-renoir_young-woman-seated-on-the-grass.jpg,Impressionism,pierre-auguste-renoir_young-woman-seated-on-the-grass.jpg,The little girl looks really happy since she's sitting in a field of flowers,contentment
data\raw\wikiart\Impressionism\claude-monet_rouen-cathedral-magic-in-blue.jpg,Impressionism\claude-monet_rouen-cathedral-magic-in-blue.jpg,Impressionism,claude-monet_rouen-cathedral-magic-in-blue.jpg,I like how the brown mixes in with the rest of the structure above and slowly fades to blue.,contentment
data\raw\wikiart\Color_Field_Painting\andre-pierre-arnal_pliage-folded-painting-1975.jpg,Color_Field_Painting\andre-pierre-arnal_pliage-folded-painting-1975.jpg,Color_Field_Painting,andre-pierre-arnal_pliage-folded-painting-1975.jpg,The symmetry of the dark brown makes me feel happy,awe
data\raw\wikiart\Northern_Renaissance\martin-schongauer_the-fifth-foolish-virgin.jpg,Northern_Renaissance\martin-schongauer_the-fifth-foolish-virgin.jpg,Northern_Renaissance,martin-schongauer_the-fifth-foolish-virgin.jpg,"Although it's a very simple pencil-skeched, the shades of grey was executed perfectly with rich content that makes me feel contentment",contentment
data\raw\wikiart\Abstract_Expressionism\hans-hofmann_nocturnal-splendor-1963.jpg,Abstract_Expressionism\hans-hofmann_nocturnal-splendor-1963.jpg,Abstract_Expressionism,hans-hofmann_nocturnal-splendor-1963.jpg,I feel confused by the painting because I can't really decipher what is going on.,something else
data\raw\wikiart\Impressionism\cornelis-vreedenburgh_a-townscene-with-children-at-play-haarlem-1930.jpg,Impressionism\cornelis-vreedenburgh_a-townscene-with-children-at-play-haarlem-1930.jpg,Impressionism,cornelis-vreedenburgh_a-townscene-with-children-at-play-haarlem-1930.jpg,The painting looks flat taking away from any realism; the dull colors also make it boring.,something else
data\raw\wikiart\Post_Impressionism\stefan-luchian_at-maize-share.jpg,Post_Impressionism\stefan-luchian_at-maize-share.jpg,Post_Impressionism,stefan-luchian_at-maize-share.jpg,The family look like they are being pushed by an army,fear
data\raw\wikiart\Post_Impressionism\david-burliuk_still-life-with-a-plate-1931.jpg,Post_Impressionism\david-burliuk_still-life-with-a-plate-1931.jpg,Post_Impressionism,david-burliuk_still-life-with-a-plate-1931.jpg,Flowers make it appear happy,contentment
data\raw\wikiart\Romanticism\richard-parkes-bonington_entrance-into-the-harbour-of-rio-de-janeiro.jpg,Romanticism\richard-parkes-bonington_entrance-into-the-harbour-of-rio-de-janeiro.jpg,Romanticism,richard-parkes-bonington_entrance-into-the-harbour-of-rio-de-janeiro.jpg,"Like the wave that are curling up towards the ships, makes it appealing to look at",contentment
data\raw\wikiart\Realism\john-lewis-krimmel_4th-of-july-1819-in-philadelphia.jpg,Realism\john-lewis-krimmel_4th-of-july-1819-in-philadelphia.jpg,Realism,john-lewis-krimmel_4th-of-july-1819-in-philadelphia.jpg,It looks like a fun and exciting celebration and looks bright and welcoming with bold colors and children running about.,excitement
data\raw\wikiart\Naive_Art_Primitivism\maria-primachenko_red-poppies-1982.jpg,Naive_Art_Primitivism\maria-primachenko_red-poppies-1982.jpg,Naive_Art_Primitivism,maria-primachenko_red-poppies-1982.jpg,"The bright colors, vase and how they are all symmetrical",contentment
data\raw\wikiart\Post_Impressionism\lajos-tihanyi_main-square-in-nagyb-nya-1908.jpg,Post_Impressionism\lajos-tihanyi_main-square-in-nagyb-nya-1908.jpg,Post_Impressionism,lajos-tihanyi_main-square-in-nagyb-nya-1908.jpg,Theres just so much town to explore here,awe
data\raw\wikiart\Post_Impressionism\paul-cezanne_in-the-woods.jpg,Post_Impressionism\paul-cezanne_in-the-woods.jpg,Post_Impressionism,paul-cezanne_in-the-woods.jpg,This painting has just enough color in the trees and leaves and the dominate color is yellow.,contentment
data\raw\wikiart\Realism\ivan-kramskoy_portrait-of-a-girl-1870.jpg,Realism\ivan-kramskoy_portrait-of-a-girl-1870.jpg,Realism,ivan-kramskoy_portrait-of-a-girl-1870.jpg,"The girl is very stoic, which makes this kind of creepy.",fear
data\raw\wikiart\Color_Field_Painting\helen-frankenthaler_black-eyed-susan-1988.jpg,Color_Field_Painting\helen-frankenthaler_black-eyed-susan-1988.jpg,Color_Field_Painting,helen-frankenthaler_black-eyed-susan-1988.jpg,Reminds me of a sunset on a beautiful day.,contentment
data\raw\wikiart\Post_Impressionism\pierre-bonnard_the-letter-1906.jpg,Post_Impressionism\pierre-bonnard_the-letter-1906.jpg,Post_Impressionism,pierre-bonnard_the-letter-1906.jpg,looks like it could have been one of my  great grandparents  and makes me feel  calm,contentment
data\raw\wikiart\Rococo\giovanni-battista-tiepolo_the-sacrifice-of-isaac-1729.jpg,Rococo\giovanni-battista-tiepolo_the-sacrifice-of-isaac-1729.jpg,Rococo,giovanni-battista-tiepolo_the-sacrifice-of-isaac-1729.jpg,"A heavenly angel has come to stop Abraham from murdering his son, but is it too late?",awe
data\raw\wikiart\Expressionism\amedeo-modigliani_portrait-of-jean-alexandre-1909.jpg,Expressionism\amedeo-modigliani_portrait-of-jean-alexandre-1909.jpg,Expressionism,amedeo-modigliani_portrait-of-jean-alexandre-1909.jpg,"This is an interesting painting.  The face depicted of this male gives me the feeling that at the time this was painted, the subject is in deep thought, or bored with what is going on.  Maybe he is sad, makes me wonder what is going through his mind.",contentment
data\raw\wikiart\Color_Field_Painting\agnes-martin_untitled-1959-1.jpg,Color_Field_Painting\agnes-martin_untitled-1959-1.jpg,Color_Field_Painting,agnes-martin_untitled-1959-1.jpg,shades of purple,contentment
data\raw\wikiart\Baroque\isaac-van-ostade_travellers-outside-an-inn.jpg,Baroque\isaac-van-ostade_travellers-outside-an-inn.jpg,Baroque,isaac-van-ostade_travellers-outside-an-inn.jpg,The darkness setting in on the right side looks like the clouds are moving over all the people and their homes.,awe
data\raw\wikiart\Color_Field_Painting\sam-francis_untitled-1965-2.jpg,Color_Field_Painting\sam-francis_untitled-1965-2.jpg,Color_Field_Painting,sam-francis_untitled-1965-2.jpg,"Very abstract, the bright colors are very pleasing to the eye.",contentment
data\raw\wikiart\Expressionism\margareta-sterian_the-red-car.jpg,Expressionism\margareta-sterian_the-red-car.jpg,Expressionism,margareta-sterian_the-red-car.jpg,The water in this picture is scary. The mountains are even scarier. The blue and white is terrifying.,fear
data\raw\wikiart\Realism\james-mcneill-whistler_green-and-violet-portrait-of-mrs-walter-sickert-1886.jpg,Realism\james-mcneill-whistler_green-and-violet-portrait-of-mrs-walter-sickert-1886.jpg,Realism,james-mcneill-whistler_green-and-violet-portrait-of-mrs-walter-sickert-1886.jpg,"The image, sitting and clothes of the woman in black reminds me of her scary medieval queens.",fear
data\raw\wikiart\Early_Renaissance\andrea-del-castagno_queen-esther.jpg,Early_Renaissance\andrea-del-castagno_queen-esther.jpg,Early_Renaissance,andrea-del-castagno_queen-esther.jpg,I really love the colors and the look the woman has,awe
data\raw\wikiart\Post_Impressionism\henri-de-toulouse-lautrec_at-the-circus-dressage-1899.jpg,Post_Impressionism\henri-de-toulouse-lautrec_at-the-circus-dressage-1899.jpg,Post_Impressionism,henri-de-toulouse-lautrec_at-the-circus-dressage-1899.jpg,"This feels gentlemanly and refined, very victorian",contentment
data\raw\wikiart\Expressionism\max-beckmann_bird-s-hell-1938.jpg,Expressionism\max-beckmann_bird-s-hell-1938.jpg,Expressionism,max-beckmann_bird-s-hell-1938.jpg,"A hellish cacophony - unatural colours, subjects, pain.",disgust
data\raw\wikiart\Romanticism\sir-lawrence-alma-tadema_bluebells.jpg,Romanticism\sir-lawrence-alma-tadema_bluebells.jpg,Romanticism,sir-lawrence-alma-tadema_bluebells.jpg,The woman is in a field with thousands of lavender flowers,contentment
data\raw\wikiart\Impressionism\walter-sickert_study-for-the-little-tea-party-1916.jpg,Impressionism\walter-sickert_study-for-the-little-tea-party-1916.jpg,Impressionism,walter-sickert_study-for-the-little-tea-party-1916.jpg,It almost looks like the figure next to the sitting man is headless; quite unnerving,fear
data\raw\wikiart\Baroque\paul-bril_an-extensive-landscape.jpg,Baroque\paul-bril_an-extensive-landscape.jpg,Baroque,paul-bril_an-extensive-landscape.jpg,I love the detail. The hills really do look like they're rolling.,contentment
data\raw\wikiart\Pop_Art\marjorie-strider_big-bite-2010.jpg,Pop_Art\marjorie-strider_big-bite-2010.jpg,Pop_Art,marjorie-strider_big-bite-2010.jpg,This is one of the most sexually charged images of a sucker I've ever seen. The style makes it seem almost cartoonish.,amusement
data\raw\wikiart\Realism\wilhelm-leibl_portr-t-der-rosine-fischler-gr-fin-treuberg-1878.jpg,Realism\wilhelm-leibl_portr-t-der-rosine-fischler-gr-fin-treuberg-1878.jpg,Realism,wilhelm-leibl_portr-t-der-rosine-fischler-gr-fin-treuberg-1878.jpg,The woman's hair is swept up into a really fancy bun,awe
data\raw\wikiart\Minimalism\andrei-cadere_untitled-polychrome-bar-1970.jpg,Minimalism\andrei-cadere_untitled-polychrome-bar-1970.jpg,Minimalism,andrei-cadere_untitled-polychrome-bar-1970.jpg,I would say i feel intrigued.  I am interested in what this could be a picture of.  It does not look symmetrical and looks like a child's toy which i find intriguing.,something else
data\raw\wikiart\Impressionism\camille-pissarro_boulevard-des-italiens-afternoon-1897.jpg,Impressionism\camille-pissarro_boulevard-des-italiens-afternoon-1897.jpg,Impressionism,camille-pissarro_boulevard-des-italiens-afternoon-1897.jpg,"The blackened, dirty-looking trees make me think of how awful this city must have smelled.",disgust
data\raw\wikiart\Baroque\francesco-guardi_the-molo-from-the-bacino-1780.jpg,Baroque\francesco-guardi_the-molo-from-the-bacino-1780.jpg,Baroque,francesco-guardi_the-molo-from-the-bacino-1780.jpg,This looks like a peaceful waterscape with a big beautiful sailboat,contentment
data\raw\wikiart\Impressionism\eliseu-visconti_ilusoes-perdidas.jpg,Impressionism\eliseu-visconti_ilusoes-perdidas.jpg,Impressionism,eliseu-visconti_ilusoes-perdidas.jpg,I love how it is representing an artist in action combined with the realistic smoke.,contentment
data\raw\wikiart\Realism\ivan-shishkin_backwoods-1870.jpg,Realism\ivan-shishkin_backwoods-1870.jpg,Realism,ivan-shishkin_backwoods-1870.jpg,I'm waiting for a random serial killer to just jump out of nowhere. This image is scary looking.,fear
data\raw\wikiart\Post_Impressionism\adam-baltatu_village-boundary.jpg,Post_Impressionism\adam-baltatu_village-boundary.jpg,Post_Impressionism,adam-baltatu_village-boundary.jpg,What should be a peaceful town is decomposing into its component shapes,fear
data\raw\wikiart\Realism\vasily-vereshchagin_chinese-1873.jpg,Realism\vasily-vereshchagin_chinese-1873.jpg,Realism,vasily-vereshchagin_chinese-1873.jpg,the pipe in the man's mouth makes him seem rich,contentment
data\raw\wikiart\Fauvism\endre-bartos_ter-z-with-withering-sunflowers-1989.jpg,Fauvism\endre-bartos_ter-z-with-withering-sunflowers-1989.jpg,Fauvism,endre-bartos_ter-z-with-withering-sunflowers-1989.jpg,"She looks like a pretty girl, but the skin colors are upsetting.",disgust
data\raw\wikiart\Expressionism\chaim-soutine_young-woman.jpg,Expressionism\chaim-soutine_young-woman.jpg,Expressionism,chaim-soutine_young-woman.jpg,The yellow in the background along with the black dress make the women look discontent,anger
data\raw\wikiart\Impressionism\emile-claus_le-pique-nique-1887.jpg,Impressionism\emile-claus_le-pique-nique-1887.jpg,Impressionism,emile-claus_le-pique-nique-1887.jpg,a crowd of people gathered by the rivers edge,contentment
data\raw\wikiart\Mannerism_Late_Renaissance\paolo-veronese_st-mennas.jpg,Mannerism_Late_Renaissance\paolo-veronese_st-mennas.jpg,Mannerism_Late_Renaissance,paolo-veronese_st-mennas.jpg,"The dark colors make it seem as though he is sad, or possibly mourning a loss.",sadness
data\raw\wikiart\Romanticism\william-turner_san-giorgio-maggiore-in-the-morning.jpg,Romanticism\william-turner_san-giorgio-maggiore-in-the-morning.jpg,Romanticism,william-turner_san-giorgio-maggiore-in-the-morning.jpg,Quite the simple bay side piece. Boats afloat across the chill blue water with a tall tower heading in the back. Soft content feel.,contentment
data\raw\wikiart\High_Renaissance\lorenzo-lotto_portrait-of-a-woman.jpg,High_Renaissance\lorenzo-lotto_portrait-of-a-woman.jpg,High_Renaissance,lorenzo-lotto_portrait-of-a-woman.jpg,Sullen face of a woman who has seen so much but has not seen enough,something else
data\raw\wikiart\Post_Impressionism\vincent-van-gogh_way-in-the-voyer-d-argenson-park-in-asnieres-1887.jpg,Post_Impressionism\vincent-van-gogh_way-in-the-voyer-d-argenson-park-in-asnieres-1887.jpg,Post_Impressionism,vincent-van-gogh_way-in-the-voyer-d-argenson-park-in-asnieres-1887.jpg,An impressionist painting of trees along the shoreline of a pond has uninteresting colors presenting a drab tableau for the viewer.,something else
data\raw\wikiart\Impressionism\claude-monet_the-big-blue-meditarranean-at-antibes.jpg,Impressionism\claude-monet_the-big-blue-meditarranean-at-antibes.jpg,Impressionism,claude-monet_the-big-blue-meditarranean-at-antibes.jpg,beautiful bright abstract colors of what could be a beach,contentment
data\raw\wikiart\Art_Nouveau_Modern\sergey-solomko_the-wreckage-1914.jpg,Art_Nouveau_Modern\sergey-solomko_the-wreckage-1914.jpg,Art_Nouveau_Modern,sergey-solomko_the-wreckage-1914.jpg,strong boy pulling two senior ladies in a cart. A small dog walks under the cart,amusement
data\raw\wikiart\Naive_Art_Primitivism\maria-primachenko_seagulls-in-the-boat-1965.jpg,Naive_Art_Primitivism\maria-primachenko_seagulls-in-the-boat-1965.jpg,Naive_Art_Primitivism,maria-primachenko_seagulls-in-the-boat-1965.jpg,The symmetry in the two birds facing one another is pleasing as are all the bring colors.,contentment
data\raw\wikiart\Abstract_Expressionism\milton-resnick_abstraction-1963.jpg,Abstract_Expressionism\milton-resnick_abstraction-1963.jpg,Abstract_Expressionism,milton-resnick_abstraction-1963.jpg,it just looks like a bunch of the same splattered colors everywhere. no too impressive,something else
